id;name;region;type;difficulty;time;instructions;tags;calories;servings;description;img
1;Паэлья;Европейская кухня;Ужин;Medium;45;"[""Обжарить лук и чеснок на сковороде."",""Добавить рис, бульон, овощи, морепродукты, специи."",""Тушить под крышкой до готовности.""]";"[""Европейская кухня"",""Diner""]";320;4;Паэлья - традиционное испанское блюдо с рисом и морепродуктами.;pct_1
2;Лазанья;Европейская кухня;Обед;Hard;60;"[""Приготовить мясной соус."",""Смонтировать слои мясного соуса и листов лазаньи, посыпать сыром."",""Запекать."",""Подавать горячим.""]";"[""Европейская кухня"",""Lunch""]";500;6;Лазанья - итальянское блюдо из теста, мясного соуса и сыра.;pct_2
3;Бефстроганов;Европейская кухня;Ужин;Medium;40;"[""Обжарить ломтики говядины, добавить лук, грибы, сливки."",""Тушить до гомогенности."",""Подавать с гарниром.""]";"[""Европейская кухня"",""Diner""]";380;4;Бефстроганов - русское блюдо с говядиной, луком и грибами в сливочном соусе.;pct_3
4;Рататуй;Европейская кухня;Обед;Medium;30;"[""Обжарить порезанные овощи поочередно."",""Смешать и тушить до готовности."",""Подавать закуской или гарниром.""]";"[""Европейская кухня"",""Lunch""]";200;3;Рататуй - французское блюдо из тушеных овощей.;pct_4
5;Спагетти карбонара;Европейская кухня;Обед;Medium;20;"[""Варить спагетти."",""Обжаривать бекон с чесноком в сливочном масле."",""Добавить яично-сырный соус, смешать."",""Подавать горячим.""]";"[""Европейская кухня"",""Lunch""]";450;2;Спагетти карбонара - итальянское блюдо с беконом, яйцом и сыром.;pct_5
6;Свинина с яблоками;Европейская кухня;Обед;Medium;35;"[""Обжаривать порционные куски свинины, добавить яблоки, тушить до готовности."",""Подавать с любым гарниром.""]";"[""Европейская кухня"",""Lunch""]";300;4;Свинина с яблоками - сочетание мяса и фруктов в одном блюде.;pct_6
7;Киш с лососем и шпинатом;Европейская кухня;Ужин;Hard;50;"[""Приготовить тесто для киша."",""Запекать с начинкой из лосося, шпината и сливок."",""Подавать в разрезанном виде.""]";"[""Европейская кухня"",""Diner""]";380;4;Киш с лососем и шпинатом - французское блюдо с пирогом из теста и начинкой из мягкого лосося и шпината.;pct_1
8;Фаршированные болгарские перцы;Европейская кухня;Ужин;Medium;40;"[""Приготовить фарш, начинить перцы."",""Тушить в духовке до готовности."",""Подавать горячими.""]";"[""Европейская кухня"",""Diner""]";250;4;Болгарские перцы, фаршированные мясом и рисом, запеченные в духовке.;pct_2
9;Курица по-французски;Европейская кухня;Ужин;Medium;55;"[""Обжаривать куриные кусочки."",""Добавить лук, морковь, сливки, вино."",""Тушить до готовности."",""Подавать с картофелем или рисом.""]";"[""Европейская кухня"",""Diner""]";320;4;Курица по-французски - блюдо с курицей, овощами и сливками по французскому рецепту.;pct_3
10;Брускетта с помидорами и базиликом;Европейская кухня;Завтрак;Easy;15;"[""Обжарить хлебные ломтики."",""Намазать помидоры, базилик и масло."",""Подавать теплыми.""]";"[""Европейская кухня"",""Breakfast""]";150;2;Брускетта - итальянское закусочное блюдо с помидорами, базиликом и оливковым маслом.;pct_4
